col-1,col-2,col-3,col-4,col-5,col-6,col-7,col-8,col-9,col-10,col-11,col-12,col-13,col-14,col-15,col-16,col-17,col-18,col-19,col-20,col-21,col-22,col-23,col-24,col-25,col-26,col-27,col-28,col-29,col-30,col-31,col-32,col-33,col-34,col-35,col-36,col-37,col-38,col-39,col-40,col-41,col-42,target,index_y,middle_y,ring_y,pinky_y,thumb_y,thumb_x
0,0,29,-4,53,-22,62,-45,64,-64,46,-58,56,-87,62,-104,67,-119,31,-65,43,-94,52,-114,60,-131,16,-66,28,-93,37,-110,46,-125,-1,-63,8,-86,14,-99,22,-111,stop,2.0517241379310347,2.0153846153846153,1.893939393939394,1.7619047619047619,0.34375,0.828125
0,0,27,-11,45,-35,49,-59,47,-77,30,-67,33,-96,36,-114,38,-130,15,-70,20,-100,24,-121,27,-139,0,-67,5,-96,10,-115,14,-132,-15,-59,-12,-83,-10,-98,-6,-112,stop,1.9402985074626866,1.9857142857142858,1.9701492537313432,1.8983050847457628,0.45454545454545453,0.9574468085106383
0,0,26,-15,40,-41,41,-65,38,-82,21,-72,20,-101,21,-118,21,-135,6,-73,6,-104,8,-124,9,-143,-7,-68,-7,-97,-5,-116,-2,-133,-21,-57,-22,-81,-20,-97,-18,-111,stop,1.875,1.9589041095890412,1.9558823529411764,1.9473684210526316,0.5,1.0526315789473684
0,0,19,-12,31,-31,33,-50,30,-65,18,-57,19,-79,20,-92,22,-104,7,-58,8,-82,10,-97,12,-111,-4,-55,-3,-77,-1,-91,2,-104,-15,-48,-15,-65,-14,-77,-11,-87,stop,1.8245614035087718,1.9137931034482758,1.8909090909090909,1.8125,0.47692307692307695,1.0333333333333334
0,0,14,-13,20,-31,17,-47,13,-57,6,-49,4,-68,2,-80,1,-90,-4,-49,-6,-69,-7,-82,-7,-95,-13,-45,-14,-64,-15,-76,-14,-87,-21,-37,-23,-53,-24,-62,-24,-71,stop,1.836734693877551,1.9387755102040816,1.9333333333333333,1.9189189189189189,0.543859649122807,1.5384615384615385
0,0,24,-16,35,-42,32,-65,26,-80,15,-69,12,-97,10,-114,9,-130,-1,-69,-3,-99,-4,-119,-4,-136,-16,-63,-17,-91,-16,-110,-15,-126,-30,-52,-31,-76,-31,-91,-31,-105,stop,1.8840579710144927,1.9710144927536233,2.0,2.019230769230769,0.525,1.3461538461538463
0,0,39,-24,57,-73,54,-115,47,-145,26,-121,22,-172,19,-204,15,-233,1,-120,-2,-175,-3,-212,-4,-245,-22,-110,-25,-161,-25,-196,-25,-227,-45,-90,-49,-130,-49,-157,-49,-184,stop,1.9256198347107438,2.0416666666666665,2.0636363636363635,2.0444444444444443,0.503448275862069,1.2127659574468086
0,0,56,-34,85,-100,81,-157,66,-194,41,-166,38,-232,35,-272,30,-310,8,-165,5,-236,4,-284,3,-327,-23,-152,-25,-218,-24,-263,-23,-304,-54,-127,-56,-180,-56,-214,-55,-250,stop,1.8674698795180722,1.981818181818182,2.0,1.968503937007874,0.5154639175257731,1.2878787878787878
0,0,35,-22,55,-63,56,-100,48,-124,28,-107,26,-150,23,-174,21,-197,6,-108,5,-153,6,-183,5,-210,-14,-100,-15,-143,-13,-171,-11,-197,-34,-84,-35,-118,-34,-141,-33,-164,stop,1.841121495327103,1.9444444444444444,1.97,1.9523809523809523,0.5080645161290323,1.1458333333333333
0,0,26,-17,41,-45,41,-72,37,-89,21,-76,21,-107,20,-124,20,-140,6,-77,6,-110,7,-132,8,-150,-9,-72,-9,-103,-7,-123,-4,-141,-23,-62,-24,-86,-23,-102,-22,-117,stop,1.8421052631578947,1.948051948051948,1.9583333333333333,1.8870967741935485,0.5056179775280899,1.1081081081081081
0,0,22,-14,35,-36,34,-57,29,-69,19,-62,19,-86,19,-101,20,-113,6,-63,7,-89,8,-106,10,-121,-7,-59,-5,-84,-2,-100,1,-114,-19,-51,-19,-71,-17,-83,-15,-95,stop,1.8225806451612903,1.9206349206349207,1.9322033898305084,1.8627450980392157,0.5217391304347826,1.206896551724138
0,0,16,-13,24,-32,23,-49,20,-61,11,-53,8,-73,7,-85,7,-96,0,-53,-3,-74,-3,-88,-2,-100,-10,-49,-12,-68,-11,-81,-9,-92,-19,-41,-21,-57,-21,-67,-20,-76,stop,1.8113207547169812,1.8867924528301887,1.8775510204081634,1.853658536585366,0.5245901639344263,1.2
0,0,24,-11,36,-34,35,-55,29,-70,17,-60,15,-87,15,-104,16,-119,1,-61,0,-90,2,-109,3,-126,-13,-57,-13,-84,-11,-103,-9,-118,-27,-47,-28,-71,-26,-86,-24,-99,stop,1.9833333333333334,2.0655737704918034,2.0701754385964914,2.106382978723404,0.4857142857142857,1.2413793103448276
0,0,46,-20,68,-76,67,-123,67,-156,44,-135,47,-189,49,-222,49,-253,19,-138,24,-197,28,-236,30,-271,-5,-131,0,-187,4,-224,8,-257,-30,-114,-27,-156,-24,-185,-21,-214,stop,1.874074074074074,1.963768115942029,1.9618320610687023,1.8771929824561404,0.48717948717948717,1.0149253731343284
0,0,30,-18,45,-49,46,-77,41,-92,27,-87,28,-120,28,-138,29,-153,10,-89,13,-125,15,-149,18,-169,-7,-85,-3,-120,1,-142,5,-160,-25,-74,-23,-102,-20,-119,-17,-136,stop,1.7586206896551724,1.898876404494382,1.8823529411764706,1.837837837837838,0.532608695652174,1.0975609756097562
0,0,6,3,9,6,10,9,10,11,7,5,8,13,8,18,9,22,3,5,5,14,6,21,6,25,0,6,1,15,2,21,3,24,-4,6,-3,14,-2,18,-1,22,stop,4.4,5.0,4.0,3.6666666666666665,0.5454545454545454,0.9
0,0,31,-18,44,-49,41,-76,35,-89,23,-85,20,-119,20,-140,20,-158,4,-87,3,-124,4,-149,5,-171,-13,-82,-13,-118,-12,-141,-11,-162,-31,-71,-31,-99,-30,-118,-29,-136,stop,1.8588235294117648,1.9655172413793103,1.975609756097561,1.9154929577464788,0.550561797752809,1.2571428571428571
0,0,54,-17,87,-70,95,-119,98,-157,71,-137,80,-198,84,-235,85,-269,42,-143,55,-208,63,-250,67,-287,13,-138,26,-199,35,-238,40,-274,-19,-122,-9,-169,-1,-200,6,-233,stop,1.9635036496350364,2.006993006993007,1.9855072463768115,1.9098360655737705,0.445859872611465,0.8877551020408163
0,0,48,-17,77,-66,84,-109,89,-140,62,-126,72,-175,79,-205,83,-234,38,-132,50,-187,60,-221,66,-251,14,-129,26,-181,35,-212,44,-241,-13,-118,-4,-157,4,-182,12,-208,stop,1.8571428571428572,1.9015151515151516,1.8682170542635659,1.7627118644067796,0.4714285714285714,0.8651685393258427
0,0,26,-31,30,-72,20,-104,8,-126,-9,-104,-21,-141,-30,-164,-39,-185,-28,-98,-42,-139,-50,-167,-57,-191,-44,-86,-57,-124,-63,-150,-68,-172,-57,-67,-69,-96,-73,-116,-78,-136,stop,1.7788461538461537,1.9489795918367347,2.0,2.029850746268657,0.5714285714285714,3.75
0,0,34,-23,50,-63,49,-96,44,-115,26,-105,24,-145,24,-169,24,-191,6,-106,6,-150,7,-179,8,-203,-14,-99,-13,-142,-10,-169,-7,-192,-33,-85,-32,-118,-30,-139,-28,-161,stop,1.819047619047619,1.9150943396226414,1.9393939393939394,1.8941176470588235,0.5478260869565217,1.1363636363636365
0,0,34,-23,50,-65,48,-99,44,-123,24,-108,22,-149,21,-173,20,-196,3,-108,2,-153,3,-183,4,-209,-17,-101,-17,-143,-15,-171,-13,-195,-36,-86,-37,-119,-36,-140,-34,-162,stop,1.8148148148148149,1.9351851851851851,1.9306930693069306,1.8837209302325582,0.5284552845528455,1.1363636363636365
0,0,39,-10,64,-47,73,-81,76,-105,53,-97,63,-140,69,-166,73,-191,33,-101,45,-147,53,-178,58,-204,13,-99,24,-143,32,-171,39,-196,-9,-90,-2,-125,5,-148,11,-170,stop,1.9690721649484537,2.01980198019802,1.97979797979798,1.8888888888888888,0.44761904761904764,0.8421052631578947
0,0,-27,-13,-42,-38,-42,-63,-45,-82,-27,-74,-30,-103,-32,-121,-33,-137,-12,-77,-16,-109,-18,-129,-20,-147,3,-74,-1,-104,-4,-123,-6,-140,18,-66,15,-89,13,-103,9,-117,stop,1.8513513513513513,1.9090909090909092,1.8918918918918919,1.7727272727272727,0.4634146341463415,0.9333333333333333
0,0,-22,-7,-35,-25,-37,-43,-39,-55,-25,-54,-31,-75,-33,-88,-34,-100,-14,-57,-20,-81,-23,-95,-25,-108,-3,-56,-8,-78,-11,-92,-14,-104,10,-51,6,-68,4,-79,0,-89,stop,1.8518518518518519,1.894736842105263,1.8571428571428572,1.7450980392156863,0.45454545454545453,0.8974358974358975
0,0,-22,-9,-34,-28,-35,-47,-36,-60,-21,-58,-24,-81,-25,-96,-25,-109,-9,-60,-12,-86,-14,-102,-15,-117,3,-58,0,-82,-2,-97,-3,-111,16,-51,14,-70,12,-82,10,-93,stop,1.8793103448275863,1.95,1.9137931034482758,1.8235294117647058,0.4666666666666667,0.9444444444444444
0,0,-29,-13,-44,-39,-44,-64,-41,-81,-23,-74,-25,-105,-25,-124,-24,-140,-6,-77,-9,-110,-10,-131,-11,-150,10,-73,7,-104,6,-124,5,-141,26,-65,25,-89,23,-105,20,-120,stop,1.8918918918918919,1.948051948051948,1.9315068493150684,1.8461538461538463,0.48148148148148145,1.0731707317073171
0,0,-41,-13,-65,-53,-66,-92,-63,-116,-44,-108,-50,-151,-52,-179,-54,-203,-19,-113,-29,-161,-34,-192,-36,-218,3,-110,-5,-155,-11,-184,-15,-208,28,-99,21,-134,15,-156,9,-177,stop,1.8796296296296295,1.9292035398230087,1.8909090909090909,1.7878787878787878,0.45689655172413796,1.0317460317460319
0,0,-62,-22,-99,-86,-102,-147,-97,-190,-62,-164,-72,-233,-75,-277,-77,-314,-27,-169,-40,-245,-46,-295,-49,-337,9,-161,-2,-236,-9,-283,-16,-324,48,-143,39,-199,31,-236,22,-272,stop,1.9146341463414633,1.9940828402366864,2.012422360248447,1.902097902097902,0.45263157894736844,1.0206185567010309
0,0,-74,-25,-110,-93,-118,-157,-130,-203,-83,-178,-96,-256,-103,-304,-108,-347,-48,-183,-64,-269,-73,-326,-80,-374,-12,-175,-25,-257,-36,-311,-46,-357,27,-153,20,-214,10,-254,-1,-294,stop,1.949438202247191,2.0437158469945356,2.04,1.9215686274509804,0.458128078817734,0.8461538461538461
0,0,-34,-24,-50,-65,-46,-99,-40,-119,-20,-108,-18,-148,-15,-173,-12,-195,2,-107,3,-152,4,-180,6,-204,22,-100,22,-141,23,-167,23,-190,41,-86,42,-117,41,-138,38,-157,stop,1.8055555555555556,1.9065420560747663,1.9,1.8255813953488371,0.5462184873949579,1.25
0,0,-20,-13,-27,-37,-23,-57,-22,-70,-14,-66,-13,-89,-13,-104,-12,-117,-2,-65,-2,-92,-2,-109,-1,-124,9,-61,10,-87,10,-104,10,-118,21,-52,21,-72,20,-85,19,-98,stop,1.7727272727272727,1.9076923076923078,1.9344262295081966,1.8846153846153846,0.5285714285714286,1.2272727272727273
0,0,-16,-12,-22,-32,-19,-48,-17,-59,-7,-54,-5,-75,-3,-88,-1,-99,3,-54,6,-77,7,-92,10,-105,13,-50,15,-72,17,-86,18,-98,22,-42,24,-59,25,-70,25,-80,stop,1.8333333333333333,1.9444444444444444,1.96,1.9047619047619047,0.5423728813559322,1.2941176470588236
0,0,-14,-13,-18,-29,-14,-44,-10,-53,-2,-49,2,-67,6,-78,9,-87,8,-48,12,-67,15,-80,18,-90,17,-44,21,-62,23,-73,25,-83,25,-36,28,-50,29,-59,30,-68,stop,1.7755102040816326,1.875,1.8863636363636365,1.8888888888888888,0.5471698113207547,1.8
0,0,-17,-11,-25,-28,-23,-44,-18,-54,-8,-50,-7,-70,-5,-82,-2,-92,3,-50,4,-72,6,-85,7,-96,13,-47,14,-66,15,-79,16,-89,22,-40,24,-55,25,-65,24,-74,stop,1.84,1.92,1.8936170212765957,1.85,0.5185185185185185,1.3888888888888888
0,0,-28,-15,-44,-42,-42,-68,-35,-83,-18,-75,-19,-105,-18,-123,-17,-139,-1,-77,-2,-109,-2,-130,-2,-147,14,-73,13,-103,13,-122,12,-138,30,-63,31,-87,30,-102,27,-117,stop,1.8533333333333333,1.9090909090909092,1.8904109589041096,1.8571428571428572,0.5060240963855421,1.2571428571428571
0,0,-37,-15,-56,-55,-54,-90,-52,-113,-30,-101,-35,-139,-36,-164,-37,-186,-8,-105,-14,-148,-16,-176,-17,-200,12,-101,7,-143,4,-170,1,-192,34,-90,30,-123,26,-144,22,-164,stop,1.8415841584158417,1.9047619047619047,1.900990099009901,1.8222222222222222,0.48672566371681414,1.0769230769230769
0,0,-53,-32,-77,-89,-71,-140,-67,-173,-36,-156,-39,-212,-39,-248,-39,-279,-2,-158,-5,-221,-7,-261,-6,-295,27,-148,25,-208,23,-246,20,-278,58,-127,56,-173,52,-204,47,-234,stop,1.7884615384615385,1.8670886075949367,1.8783783783783783,1.8425196850393701,0.5144508670520231,1.1492537313432836
0,0,-30,-24,-39,-62,-31,-89,-26,-102,-14,-97,-11,-131,-9,-150,-6,-168,5,-97,8,-135,9,-159,11,-179,23,-91,26,-127,26,-150,26,-169,41,-78,45,-107,44,-125,42,-143,stop,1.731958762886598,1.8453608247422681,1.8571428571428572,1.8333333333333333,0.6078431372549019,1.5
0,0,-18,-10,-27,-30,-25,-48,-25,-61,-16,-55,-17,-76,-17,-89,-16,-100,-6,-57,-8,-79,-9,-93,-9,-107,4,-54,2,-76,1,-90,1,-102,15,-47,13,-65,12,-76,10,-87,stop,1.8181818181818181,1.8771929824561404,1.8888888888888888,1.851063829787234,0.4918032786885246,1.08
0,0,-18,-7,-28,-23,-28,-39,-26,-48,-17,-47,-19,-65,-19,-76,-19,-86,-7,-49,-10,-68,-11,-81,-12,-92,2,-47,0,-66,-2,-78,-2,-88,12,-43,11,-57,9,-67,8,-76,stop,1.8297872340425532,1.8775510204081634,1.872340425531915,1.7674418604651163,0.4791666666666667,1.0769230769230769
0,0,-20,-7,-30,-26,-29,-44,-28,-55,-18,-53,-20,-75,-21,-89,-21,-100,-7,-56,-10,-80,-13,-96,-14,-110,4,-55,1,-79,-1,-93,-3,-106,16,-51,13,-70,12,-82,9,-93,stop,1.8867924528301887,1.9642857142857142,1.9272727272727272,1.8235294117647058,0.4727272727272727,1.0714285714285714
0,0,-45,-16,-71,-58,-71,-98,-67,-126,-43,-112,-49,-156,-51,-185,-52,-210,-18,-118,-26,-166,-30,-198,-33,-225,7,-116,-1,-161,-7,-190,-12,-215,34,-105,26,-141,20,-165,13,-186,stop,1.875,1.9067796610169492,1.853448275862069,1.7714285714285714,0.4603174603174603,1.0597014925373134
0,0,-28,-14,-42,-41,-42,-67,-39,-80,-30,-75,-32,-101,-34,-117,-34,-131,-16,-79,-21,-108,-25,-126,-28,-142,-3,-78,-8,-106,-12,-123,-16,-137,11,-73,7,-95,4,-109,-1,-122,stop,1.7466666666666666,1.7974683544303798,1.7564102564102564,1.6712328767123288,0.5125,1.0769230769230769
0,0,-21,-5,-34,-20,-36,-37,-38,-50,-24,-49,-29,-68,-31,-80,-32,-91,-13,-52,-18,-73,-21,-87,-23,-99,-2,-52,-7,-72,-10,-84,-12,-95,10,-47,7,-63,4,-73,1,-82,stop,1.8571428571428572,1.9038461538461537,1.8269230769230769,1.7446808510638299,0.4,0.8947368421052632
0,0,-39,-12,-57,-53,-55,-90,-53,-116,-31,-102,-35,-145,-36,-172,-37,-195,-10,-106,-14,-153,-17,-184,-17,-210,12,-102,7,-147,3,-177,1,-201,35,-91,29,-127,26,-150,22,-172,stop,1.911764705882353,1.9811320754716981,1.9705882352941178,1.89010989010989,0.45689655172413796,1.0754716981132075
0,0,-67,-26,-103,-99,-108,-166,-116,-214,-66,-192,-83,-274,-89,-325,-92,-372,-25,-195,-43,-286,-51,-346,-57,-399,17,-182,4,-270,-4,-329,-12,-382,64,-155,55,-225,44,-270,30,-315,stop,1.9375,2.046153846153846,2.098901098901099,2.032258064516129,0.46261682242990654,0.8879310344827587
0,0,-44,-27,-72,-73,-73,-117,-66,-141,-41,-128,-46,-177,-47,-206,-47,-233,-13,-131,-20,-184,-23,-218,-24,-248,12,-124,5,-174,2,-205,-1,-233,38,-109,34,-147,29,-172,24,-196,stop,1.8203125,1.8931297709923665,1.8790322580645162,1.798165137614679,0.5177304964539007,1.0909090909090908
0,0,-23,-9,-38,-26,-41,-44,-38,-57,-25,-53,-28,-75,-29,-88,-29,-100,-12,-56,-16,-79,-18,-94,-19,-107,-1,-55,-5,-77,-6,-90,-8,-102,12,-51,10,-68,8,-79,5,-89,stop,1.8867924528301887,1.9107142857142858,1.8545454545454545,1.7450980392156863,0.45614035087719296,1.0
0,0,-25,-7,-38,-26,-39,-45,-34,-58,-22,-55,-25,-77,-26,-92,-26,-105,-9,-58,-12,-84,-14,-101,-15,-115,4,-57,0,-81,-1,-97,-3,-110,18,-52,16,-71,14,-84,12,-96,stop,1.9090909090909092,1.9827586206896552,1.9298245614035088,1.8461538461538463,0.4482758620689655,1.1176470588235294
0,0,-52,-18,-86,-66,-90,-114,-85,-147,-54,-130,-63,-182,-65,-216,-67,-247,-23,-137,-34,-195,-39,-233,-42,-267,6,-133,-4,-190,-10,-225,-16,-257,38,-120,29,-166,22,-196,14,-224,stop,1.9,1.948905109489051,1.9323308270676691,1.8666666666666667,0.4489795918367347,1.011764705882353
0,0,-42,-19,-65,-58,-65,-95,-60,-118,-39,-107,-43,-149,-43,-175,-44,-198,-15,-112,-20,-158,-22,-187,-23,-213,7,-109,2,-152,0,-179,-2,-203,30,-99,25,-132,22,-154,17,-174,stop,1.8504672897196262,1.9017857142857142,1.8623853211009174,1.7575757575757576,0.4915254237288136,1.0833333333333333
0,0,-22,-9,-33,-31,-33,-50,-36,-64,-22,-59,-25,-82,-27,-96,-28,-109,-9,-62,-13,-88,-16,-105,-18,-119,2,-61,-1,-86,-4,-101,-6,-115,15,-55,12,-74,9,-86,6,-98,stop,1.847457627118644,1.9193548387096775,1.8852459016393444,1.7818181818181817,0.484375,0.9166666666666666
0,0,-17,-21,-18,-47,-9,-67,-4,-80,8,-68,16,-93,23,-108,29,-121,21,-65,31,-93,37,-111,44,-126,32,-58,41,-84,47,-101,53,-116,41,-46,48,-66,52,-79,55,-92,stop,1.7794117647058822,1.9384615384615385,2.0,2.0,0.5875,4.5
0,0,-26,-5,-41,-25,-46,-45,-53,-58,-38,-56,-46,-79,-50,-94,-54,-107,-26,-62,-35,-88,-41,-105,-45,-119,-14,-64,-23,-88,-28,-104,-33,-117,0,-62,-6,-81,-12,-93,-17,-104,stop,1.9107142857142858,1.9193548387096775,1.828125,1.6774193548387097,0.43103448275862066,0.7735849056603774
0,0,-19,-23,-19,-52,-9,-74,-2,-91,13,-75,26,-101,35,-116,45,-129,29,-70,42,-100,53,-117,62,-132,40,-61,53,-89,63,-106,71,-121,50,-47,60,-68,67,-82,72,-95,stop,1.72,1.8857142857142857,1.9836065573770492,2.021276595744681,0.5714285714285714,9.5
0,0,-23,-13,-32,-38,-29,-60,-28,-73,-14,-66,-13,-90,-11,-106,-10,-119,-1,-67,0,-95,0,-113,1,-128,11,-64,11,-90,12,-107,13,-122,23,-56,23,-76,22,-90,21,-102,stop,1.803030303030303,1.9104477611940298,1.90625,1.8214285714285714,0.5205479452054794,1.1428571428571428
0,0,-22,-10,-33,-29,-34,-47,-33,-58,-19,-55,-21,-76,-20,-89,-20,-101,-7,-57,-10,-81,-10,-96,-10,-109,3,-56,2,-78,1,-92,1,-104,15,-50,14,-67,13,-78,12,-89,stop,1.8363636363636364,1.912280701754386,1.8571428571428572,1.78,0.5,1.0
0,0,-20,-8,-31,-24,-33,-40,-34,-53,-20,-48,-23,-67,-24,-79,-24,-89,-10,-51,-13,-72,-14,-86,-15,-97,0,-50,-3,-70,-4,-82,-5,-93,11,-46,10,-61,8,-71,6,-79,stop,1.8541666666666667,1.9019607843137254,1.86,1.7173913043478262,0.4528301886792453,0.9117647058823529
0,0,-37,-11,-59,-48,-60,-82,-60,-105,-37,-94,-42,-132,-44,-157,-44,-179,-16,-98,-22,-141,-25,-170,-26,-195,5,-95,0,-136,-4,-163,-7,-186,27,-84,23,-117,18,-138,13,-158,stop,1.9042553191489362,1.989795918367347,1.9578947368421054,1.880952380952381,0.45714285714285713,0.9833333333333333
0,0,-57,-28,-88,-88,-90,-143,-90,-186,-51,-159,-55,-226,-55,-269,-54,-307,-15,-162,-21,-237,-22,-287,-22,-331,19,-151,16,-224,13,-272,9,-314,56,-129,53,-185,48,-222,41,-259,stop,1.930817610062893,2.04320987654321,2.0794701986754967,2.007751937984496,0.4731182795698925,0.9777777777777777
0,0,-31,-16,-47,-48,-47,-77,-50,-96,-31,-87,-33,-121,-34,-142,-35,-160,-13,-90,-17,-128,-20,-153,-21,-173,3,-87,0,-123,-3,-146,-5,-166,21,-77,18,-104,14,-122,10,-139,stop,1.839080459770115,1.9222222222222223,1.9080459770114941,1.8051948051948052,0.5,0.94
0,0,-21,-10,-32,-30,-32,-49,-32,-63,-18,-57,-19,-79,-19,-93,-18,-106,-6,-59,-7,-84,-7,-100,-7,-114,6,-56,5,-79,4,-94,4,-107,18,-49,17,-66,15,-78,14,-89,stop,1.8596491228070176,1.9322033898305084,1.9107142857142858,1.816326530612245,0.47619047619047616,1.0
0,0,-34,-12,-51,-39,-51,-66,-49,-82,-33,-75,-35,-106,-35,-125,-34,-141,-14,-79,-18,-113,-19,-134,-20,-152,3,-78,-1,-110,-3,-130,-5,-146,20,-72,18,-96,15,-112,11,-126,stop,1.88,1.9240506329113924,1.8717948717948718,1.75,0.47560975609756095,1.0408163265306123
0,0,-22,-8,-34,-29,-36,-49,-35,-63,-22,-58,-25,-81,-26,-96,-27,-109,-9,-60,-13,-86,-15,-103,-16,-118,3,-58,-1,-82,-3,-99,-5,-113,16,-51,13,-71,10,-83,6,-95,stop,1.8793103448275863,1.9666666666666666,1.9482758620689655,1.8627450980392157,0.4603174603174603,0.9714285714285714
0,0,-50,-18,-82,-65,-87,-112,-88,-146,-51,-127,-59,-181,-62,-214,-64,-244,-20,-133,-30,-193,-33,-232,-36,-267,9,-126,1,-185,-3,-223,-9,-255,41,-110,36,-156,30,-186,23,-215,stop,1.921259842519685,2.007518796992481,2.0238095238095237,1.9545454545454546,0.4452054794520548,0.9318181818181818
0,0,-57,-29,-88,-86,-90,-139,-89,-178,-47,-156,-52,-219,-51,-260,-51,-296,-13,-159,-19,-229,-19,-275,-18,-314,19,-150,14,-217,12,-260,10,-297,53,-130,50,-182,46,-217,40,-251,stop,1.8974358974358974,1.9748427672955975,1.98,1.9307692307692308,0.48314606741573035,0.9887640449438202
0,0,-56,-30,-87,-88,-85,-142,-82,-180,-42,-160,-42,-224,-38,-264,-34,-299,-7,-162,-10,-232,-7,-278,-3,-316,26,-150,24,-218,26,-262,27,-299,60,-127,59,-180,58,-215,54,-249,stop,1.86875,1.9506172839506173,1.9933333333333334,1.9606299212598426,0.4888888888888889,1.0609756097560976
